FrameCounter,Timestamp,LedState,Region0G
0,116130.8913,6,0.03089572
1,116130.9164,1,0.034251784
2,116130.9415,6,0.03085326
3,116130.9666,1,0.034175356
4,116130.9917,6,0.030765741
5,116131.0168,1,0.034119205
6,116131.0419,6,0.030751876
7,116131.067,1,0.034049363
8,116131.0921,6,0.030715656
9,116131.1172,1,0.034024927
10,116131.1423,6,0.030681861
11,116131.1674,1,0.034004997
12,116131.1926,6,0.030676662
13,116131.2177,1,0.033972589
14,116131.2427,6,0.030649453
15,116131.2679,1,0.033957685
16,116131.293,6,0.030649799
17,116131.3181,1,0.033953525
18,116131.3432,6,0.030644774
19,116131.3683,1,0.033957165
20,116131.3934,6,0.03062467
21,116131.4185,1,0.033937408
22,116131.4436,6,0.030629869
23,116131.4687,1,0.033923197
24,116131.4938,6,0.030625017
25,116131.5189,1,0.033922677
26,116131.544,6,0.0306063
27,116131.5691,1,0.03390448
28,116131.5942,6,0.030611152
29,116131.6193,1,0.033916091
30,116131.6444,6,0.03060474
31,116131.6695,1,0.033907946
32,116131.6946,6,0.030598154
33,116131.7197,1,0.03390344
34,116131.7448,6,0.030606646
35,116131.7699,1,0.033891828
36,116131.795,6,0.03058377
37,116131.8201,1,0.033910026
38,116131.8452,6,0.030597461
39,116131.8703,1,0.033883683
40,116131.8954,6,0.030595035
41,116131.9205,1,0.033888709
42,116131.9456,6,0.030593822
43,116131.9707,1,0.033879697
44,116131.9958,6,0.030584463
45,116132.021,1,0.033888536
46,116132.046,6,0.030582557
47,116132.0712,1,0.033870685
48,116132.0963,6,0.030591742
49,116132.1214,1,0.033893908
50,116132.1465,6,0.03058117
51,116132.1716,1,0.033872591
52,116132.1967,6,0.030566439
53,116132.2218,1,0.033888016
54,116132.2469,6,0.030598328
55,116132.272,1,0.033873805
56,116132.2971,6,0.030574931
57,116132.3222,1,0.033879524
58,116132.3473,6,0.030564706
59,116132.3724,1,0.033867739
60,116132.3975,6,0.030561587
61,116132.4226,1,0.033876058
62,116132.4477,6,0.030567479
63,116132.4728,1,0.033870858
64,116132.4979,6,0.030569906
65,116132.523,1,0.033882817
66,116132.5481,6,0.030558121
67,116132.5732,1,0.033858554
68,116132.5983,6,0.030558814
69,116132.6234,1,0.033859247
70,116132.6485,6,0.030553615
71,116132.6736,1,0.033869125
72,116132.6987,6,0.030546336
73,116132.7238,1,0.033882123
74,116132.7489,6,0.030562107
75,116132.774,1,0.033874325
76,116132.7991,6,0.030568172
77,116132.8242,1,0.033850235
78,116132.8493,6,0.030528659
79,116132.8744,1,0.033845036
80,116132.8995,6,0.030562453
81,116132.9246,1,0.033855261
82,116132.9497,6,0.030553615
83,116132.9748,1,0.033851795
84,116132.9999,6,0.030564186
85,116133.025,1,0.033846596
86,116133.0501,6,0.030531952
87,116133.0752,1,0.033853874
88,116133.1003,6,0.030529872
89,116133.1254,1,0.033850755
90,116133.1505,6,0.03053923
91,116133.1757,1,0.033860807
92,116133.2008,6,0.030547029
93,116133.2258,1,0.033857687
94,116133.2509,6,0.030538537
95,116133.2761,1,0.03384001
96,116133.3011,6,0.030540097
97,116133.3262,1,0.033877444
98,116133.3514,6,0.030544949
99,116133.3765,1,0.033836891
100,116133.4015,6,0.030540097
101,116133.4266,1,0.033862193
102,116133.4517,6,0.030544256
103,116133.4768,1,0.033856821
104,116133.5019,6,0.030534898
105,116133.527,1,0.033854048
106,116133.5521,6,0.030521207
107,116133.5772,1,0.03388143
108,116133.6023,6,0.030534551
109,116133.6275,1,0.03384157
110,116133.6526,6,0.030529352
111,116133.6776,1,0.033840877
112,116133.7028,6,0.030539577
113,116133.7279,1,0.033831171
114,116133.753,6,0.030534898
115,116133.778,1,0.033860113
116,116133.8032,6,0.030536804
117,116133.8283,1,0.033848502
118,116133.8533,6,0.030535764
119,116133.8785,1,0.033850928
120,116133.9036,6,0.030568172
121,116133.9286,1,0.033847462
122,116133.9538,6,0.030531778
123,116133.9789,1,0.03385838
124,116134.004,6,0.030548762
125,116134.0291,1,0.033848329
126,116134.0542,6,0.030538191
127,116134.0793,1,0.03384261
128,116134.1044,6,0.030531432
129,116134.1295,1,0.033832385
130,116134.1546,6,0.030518434
131,116134.1797,1,0.033848155
132,116134.2048,6,0.030517741
133,116134.2299,1,0.033816614
134,116134.255,6,0.030524846
135,116134.2801,1,0.033847809
136,116134.3052,6,0.030522766
137,116134.3303,1,0.033825106
138,116134.3554,6,0.030526579
139,116134.3805,1,0.033855088
140,116134.4056,6,0.030536284
141,116134.4307,1,0.033844343
142,116134.4558,6,0.030534205
143,116134.4809,1,0.033852661
144,116134.506,6,0.030529005
145,116134.5311,1,0.033846769
146,116134.5562,6,0.030538537
147,116134.5813,1,0.033853874
148,116134.6064,6,0.030510288
149,116134.6315,1,0.033829438
150,116134.6566,6,0.030526059
151,116134.6817,1,0.033852661
152,116134.7068,6,0.030522073
153,116134.7319,1,0.03384001
154,116134.757,6,0.030524326
155,116134.7821,1,0.033845902
156,116134.8072,6,0.030528139
157,116134.8323,1,0.033847982
158,116134.8574,6,0.030517394
159,116134.8825,1,0.033843996
160,116134.9076,6,0.03050145
161,116134.9327,1,0.03382164
162,116134.9578,6,0.030508902
163,116134.9829,1,0.033847635
164,116135.008,6,0.030505609
165,116135.0331,1,0.033832038
166,116135.0582,6,0.030513928
167,116135.0833,1,0.033827185
168,116135.1084,6,0.030519647
169,116135.1335,1,0.033826492
170,116135.1586,6,0.03050301
171,116135.1837,1,0.033866006
172,116135.2088,6,0.030527446
173,116135.2339,1,0.033833424
174,116135.259,6,0.030508729
175,116135.2841,1,0.033834811
176,116135.3092,6,0.030521553
177,116135.3343,1,0.033830825
178,116135.3594,6,0.030520167
179,116135.3845,1,0.033834118
180,116135.4096,6,0.030543216
181,116135.4347,1,0.033823893
182,116135.4598,6,0.030529872
183,116135.4849,1,0.033814881
184,116135.51,6,0.030529699
185,116135.5351,1,0.033840183
186,116135.5602,6,0.030516527
187,116135.5853,1,0.033826839
