FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
0,2726.205611814,6,0,0,0,0,0,0.0306435604185846
1,2726.230706541,1,0,0,0,0,0,0.0345398182957839
2,2726.255801797,6,0,0,0,0,0,0.0305695589012123
3,2726.280912719,1,0,0,0,0,0,0.0344266496989593
4,2726.306010619,6,0,0,0,0,0,0.0305319515727116
5,2726.331123818,1,0,0,0,0,0,0.0343542079325386
6,2726.356215534,6,0,0,0,0,0,0.0304844658215172
7,2726.381311156,1,0,0,0,0,0,0.0343192001889573
8,2726.406428018,6,0,0,0,0,0,0.0304423525458229
9,2726.431522419,1,0,0,0,0,0,0.0342531707320045
10,2726.456636067,6,0,0,0,0,0,0.0304300478438711
11,2726.481730833,1,0,0,0,0,0,0.0342491847017948
12,2726.506824705,6,0,0,0,0,0,0.0304193028928709
13,2726.531920734,1,0,0,0,0,0,0.0342330672752945
14,2726.557033487,6,0,0,0,0,0,0.0304043986059997
15,2726.582126953,1,0,0,0,0,0,0.0342100176223425
16,2726.607223387,6,0,0,0,0,0,0.0304011057984351
17,2726.632318154,1,0,0,0,0,0,0.0341997925883261
18,2726.657430825,6,0,0,0,0,0,0.0303882811794994
19,2726.682527384,1,0,0,0,0,0,0.0341945934184873
20,2726.707622068,6,0,0,0,0,0,0.0303825620926767
21,2726.732711749,1,0,0,0,0,0,0.034190260776955
22,2726.75783028,6,0,0,0,0,0,0.0303732035869668
23,2726.782925088,1,0,0,0,0,0,0.0341866213580678
24,2726.808019856,6,0,0,0,0,0,0.0303818688700315
25,2726.833132324,1,0,0,0,0,0,0.034187314580713
26,2726.858227537,6,0,0,0,0,0,0.0303737235039507
27,2726.883323566,1,0,0,0,0,0,0.0341769162410354
28,2726.908417317,6,0,0,0,0,0,0.0303593391340634
29,2726.933531819,1,0,0,0,0,0,0.0341767429353741
30,2726.958624835,6,0,0,0,0,0,0.0303714705303539
31,2726.983720742,1,0,0,0,0,0,0.0341815954938903
32,2727.008816079,6,0,0,0,0,0,0.0303811756473863
33,2727.033910684,1,0,0,0,0,0,0.0341708505428901
34,2727.059003214,6,0,0,0,0,0,0.0303695641680797
35,2727.084118569,1,0,0,0,0,0,0.0341750098787612
36,2727.109212116,6,0,0,0,0,0,0.0303740701152733
37,2727.134308267,1,0,0,0,0,0,0.0341748365730999
38,2727.159421508,6,0,0,0,0,0,0.0303761497832088
39,2727.184515258,1,0,0,0,0,0,0.0341763963240515
40,2727.209609129,6,0,0,0,0,0,0.0303683510284506
41,2727.234723265,1,0,0,0,0,0,0.0341623585654868
42,2727.259818521,6,0,0,0,0,0,0.0303631518586118
43,2727.284915079,1,0,0,0,0,0,0.0341476275842768
44,2727.310026163,6,0,0,0,0,0,0.0303615921076602
45,2727.33512337,1,0,0,0,0,0,0.0341581992296157
46,2727.360237302,6,0,0,0,0,0,0.0303563929378214
47,2727.385332762,1,0,0,0,0,0,0.0341580259239544
48,2727.410446491,6,0,0,0,0,0,0.0303544865755472
49,2727.435538736,1,0,0,0,0,0,0.0341614920371803
50,2727.460634968,6,0,0,0,0,0,0.0303555264095149
51,2727.485730996,1,0,0,0,0,0,0.0341599322862286
52,2727.510845254,6,0,0,0,0,0,0.0303470344321115
53,2727.535939085,1,0,0,0,0,0,0.0341606255088738
54,2727.561033528,6,0,0,0,0,0,0.0303411420396276
55,2727.586128662,1,0,0,0,0,0,0.0341521335314704
56,2727.611257608,6,0,0,0,0,0,0.0303472077377728
57,2727.636337278,1,0,0,0,0,0,0.0341661712900352
58,2727.661431639,6,0,0,0,0,0,0.0303297038659822
59,2727.686524901,1,0,0,0,0,0,0.03414537461068
60,2727.71163859,6,0,0,0,0,0,0.0303291839489983
61,2727.736732135,1,0,0,0,0,0,0.0341592390635835
62,2727.761829995,6,0,0,0,0,0,0.0303271042810628
63,2727.786924437,1,0,0,0,0,0,0.0341455479163413
64,2727.812035888,6,0,0,0,0,0,0.0303303970886274
65,2727.837153075,1,0,0,0,0,0,0.0341374025502605
66,2727.862247719,6,0,0,0,0,0,0.0303158394130787
