FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G,Region1G
0,20164.848596637,6,0,0,0,0,0,0.0342161600762139,0.0313416368092997
1,20164.873690835,1,0,0,0,0,0,0.0356202781598415,0.0324586808232168
2,20164.898786701,6,0,0,0,0,0,0.0341999360227266,0.0313450768079739
3,20164.923897664,1,0,0,0,0,0,0.0355948358941455,0.0324657519316026
4,20164.948994749,6,0,0,0,0,0,0.0341850025189485,0.0313552056929589
5,20164.974089069,1,0,0,0,0,0,0.0355939140729246,0.0324433919402205
6,20164.999222369,6,0,0,0,0,0,0.034197170559064,0.0313343745898765
7,20165.024313841,1,0,0,0,0,0,0.0356088475767027,0.0324670897088647
8,20165.049412149,6,0,0,0,0,0,0.0342073105924935,0.0313351390340263
9,20165.07452307,1,0,0,0,0,0,0.0355959420796105,0.0324571519349171
10,20165.099619871,6,0,0,0,0,0,0.0342157913477255,0.0313393434768503
11,20165.124714272,1,0,0,0,0,0,0.0355828522182742,0.0324393786084339
12,20165.149827838,6,0,0,0,0,0,0.0341932989099363,0.0313160279302809
13,20165.174923054,1,0,0,0,0,0,0.0355821147612975,0.0324302052786362
14,20165.200017944,6,0,0,0,0,0,0.0341479453058696,0.0313372412554383
15,20165.225111448,1,0,0,0,0,0,0.0355839584037392,0.0324514186037935
16,20165.250225787,6,0,0,0,0,0,0.0341472078488929,0.0313315079243147
17,20165.27531905,1,0,0,0,0,0,0.0355714216351354,0.0324605919335913
18,20165.30041455,6,0,0,0,0,0,0.0341580853392991,0.0313439301417491
19,20165.325527221,1,0,0,0,0,0,0.0355819303970533,0.0324699563744265
20,20165.350621051,6,0,0,0,0,0,0.0341785497704024,0.0313429745865619
21,20165.375719114,1,0,0,0,0,0,0.0355933609801921,0.0324793208152618
22,20165.400812702,6,0,0,0,0,0,0.0341715439291238,0.0313580723585207
23,20165.425927163,1,0,0,0,0,0,0.0356046071990867,0.032503018583906
24,20165.451021524,6,0,0,0,0,0,0.0341661973660428,0.0313599834688953
25,20165.476130574,1,0,0,0,0,0,0.0355887518740877,0.0325068408046551
26,20165.501209959,6,0,0,0,0,0,0.0341667504587753,0.0313737434635919
27,20165.526321369,1,0,0,0,0,0,0.0355931766159479,0.0324764541497
28,20165.551436278,6,0,0,0,0,0,0.0341501576767997,0.0313532945825844
29,20165.57653129,1,0,0,0,0,0,0.0355874613243785,0.0324852452574228
30,20165.601626098,6,0,0,0,0,0,0.0341442580209861,0.0313338012567641
31,20165.626756225,1,0,0,0,0,0,0.0355889362383319,0.0324674719309396
32,20165.651835814,6,0,0,0,0,0,0.0341092288145931,0.0313313168132772
33,20165.676929686,1,0,0,0,0,0,0.035591148609262,0.0324672808199022
34,20165.70204549,6,0,0,0,0,0,0.0341199219407552,0.0313406812541124
35,20165.727140339,1,0,0,0,0,0,0.0355865395031577,0.0324753074834752
36,20165.752234454,6,0,0,0,0,0,0.0341272965105221,0.0313313168132772
37,20165.777347858,1,0,0,0,0,0,0.0355976013578081,0.0324611652667037
38,20165.802443236,6,0,0,0,0,0,0.0341715439291238,0.0313158368192435
39,20165.827537312,1,0,0,0,0,0,0.0355961264438547,0.0324470230499321
40,20165.85265157,6,0,0,0,0,0,0.0341857399759252,0.03135061902806
41,20165.877746254,1,0,0,0,0,0,0.0355813773043208,0.0324995785852319
42,20165.902838296,6,0,0,0,0,0,0.0341864774329019,0.0313682012435058
43,20165.927935505,1,0,0,0,0,0,0.035590042423797,0.0324884941450595
44,20165.953048583,6,0,0,0,0,0,0.0341916396317388,0.0313823434602774
45,20165.978143757,1,0,0,0,0,0,0.0355740027345538,0.0325154408013405
46,20166.003237913,6,0,0,0,0,0,0.0341647224520894,0.031371259020105
47,20166.028350258,1,0,0,0,0,0,0.0356062664772843,0.032500916362494
48,20166.053447101,6,0,0,0,0,0,0.0341748624855189,0.0313487079176855
49,20166.078541706,1,0,0,0,0,0,0.0355806398473441,0.0324760719276251
50,20166.103654011,6,0,0,0,0,0,0.0341883210753436,0.0313613212461574
51,20166.128750773,1,0,0,0,0,0,0.0355863551389135,0.0324592541563291
52,20166.153864703,6,0,0,0,0,0,0.0341879523468553,0.0313576901364458
53,20166.17895886,1,0,0,0,0,0,0.0355876456886227,0.0324776008159247
54,20166.204054076,6,0,0,0,0,0,0.0341617726241826,0.0313842545706519
55,20166.229148437,1,0,0,0,0,0,0.0355894893310644,0.0324808497035614
56,20166.254261637,6,0,0,0,0,0,0.0341829745122626,0.0313594101357829
57,20166.279356809,1,0,0,0,0,0,0.0356064508415284,0.0325018719176813
58,20166.304450438,6,0,0,0,0,0,0.034210997877377,0.0313655256889814
59,20166.32954427,1,0,0,0,0,0,0.0355957577153663,0.0324753074834752
60,20166.354659545,6,0,0,0,0,0,0.0342058356785401,0.0313731701304796
61,20166.379752644,1,0,0,0,0,0,0.0355775056551931,0.0324602097115164
62,20166.404847613,6,0,0,0,0,0,0.0342039920360984,0.0313406812541124
63,20166.429940916,1,0,0,0,0,0,0.035591148609262,0.0324714852627262
64,20166.455057738,6,0,0,0,0,0,0.0342168975331906,0.0313462234741986
65,20166.480152424,1,0,0,0,0,0,0.0355467168264161,0.0324766452607374
66,20166.505245644,6,0,0,0,0,0,0.0341302463384289,0.031340490143075
67,20166.530339109,1,0,0,0,0,0,0.0356058977487959,0.0324590630452917
68,20166.555454669,6,0,0,0,0,0,0.0342274062951085,0.0313553968039964
69,20166.580565998,1,0,0,0,0,0,0.0355854333176926,0.0324900230333592
70,20166.605663817,6,0,0,0,0,0,0.0341374365439517,0.0313343745898765
71,20166.630777587,1,0,0,0,0,0,0.0355334426008356,0.0324812319256363
72,20166.655870766,6,0,0,0,0,0,0.0341909021747621,0.0313571168033335
73,20166.680966022,1,0,0,0,0,0,0.035617697060423,0.0324705297075389
74,20166.706080361,6,0,0,0,0,0,0.0341932989099363,0.0313483256956106
75,20166.7311746,1,0,0,0,0,0,0.035600735549959,0.0324940363651457
76,20166.756270792,6,0,0,0,0,0,0.0341761530352282,0.0313693479097305
77,20166.7813645,1,0,0,0,0,0,0.0355668125290311,0.0324818052587487
78,20166.806478717,6,0,0,0,0,0,0.0341261903250571,0.0313402990320375
79,20166.831573403,1,0,0,0,0,0,0.0355634939726359,0.0324756897055502
80,20166.856668008,6,0,0,0,0,0,0.0341413081930793,0.0313664812441687
81,20166.881761515,1,0,0,0,0,0,0.0356247029017016,0.0324831430360108
82,20166.906877278,6,0,0,0,0,0,0.0341636162666243,0.0313435479196742
83,20166.931968422,1,0,0,0,0,0,0.0355682874429845,0.0324921252547712
84,20166.957064167,6,0,0,0,0,0,0.0341274808747663,0.0313538679156967
85,20166.982157714,1,0,0,0,0,0,0.0355500353828112,0.0324682363750895
86,20167.007274495,6,0,0,0,0,0,0.0340771494361068,0.0313574990254084
87,20167.032365802,1,0,0,0,0,0,0.0355636783368801,0.0324911696995839
88,20167.057463377,6,0,0,0,0,0,0.0341186313910459,0.0313716412421799
89,20167.082555825,1,0,0,0,0,0,0.0355662594362985,0.0325049296942806
90,20167.107688109,6,0,0,0,0,0,0.034120843761976,0.0313544412488091
91,20167.132785806,1,0,0,0,0,0,0.035609216305191,0.0324915519216588
92,20167.157899698,6,0,0,0,0,0,0.0341593758890083,0.0313620856903073
93,20167.182990924,1,0,0,0,0,0,0.0356178814246672,0.0324852452574228
94,20167.208105304,6,0,0,0,0,0,0.034149420219823,0.0313605568020076
95,20167.233203327,1,0,0,0,0,0,0.0356022104639124,0.0325049296942806
96,20167.258314655,6,0,0,0,0,0,0.034128218331743,0.0313618945792698
97,20167.283409545,1,0,0,0,0,0,0.0356020260996683,0.0324860097015727
98,20167.308506713,6,0,0,0,0,0,0.0341300619741847,0.0313513834722098
99,20167.333598834,1,0,0,0,0,0,0.0355756620127514,0.0324860097015727
100,20167.358713906,6,0,0,0,0,0,0.0340736465154675,0.0313488990287229
101,20167.383807005,1,0,0,0,0,0,0.0355461637336836,0.032484480813273
102,20167.408902709,6,0,0,0,0,0,0.0340758588863976,0.0313766101291537
103,20167.433999021,1,0,0,0,0,0,0.0355671812575194,0.0325089430260671
104,20167.459109861,6,0,0,0,0,0,0.0340795461712811,0.0313475612514608
105,20167.484207518,1,0,0,0,0,0,0.0355376829784516,0.0324644141543404
106,20167.509298013,6,0,0,0,0,0,0.0341036978872679,0.031354823470884
107,20167.534395792,1,0,0,0,0,0,0.0355315989583939,0.0324760719276251
108,20167.559510131,6,0,0,0,0,0,0.0340867363768039,0.0313928545673373
109,20167.584604734,1,0,0,0,0,0,0.0355539070319389,0.0324913608106214
110,20167.609717568,6,0,0,0,0,0,0.0340898705689548,0.0313643790227567
111,20167.634813272,1,0,0,0,0,0,0.0355725278206004,0.0324884941450595
112,20167.659906168,6,0,0,0,0,0,0.0341018542448261,0.0313517656942848
113,20167.685021158,1,0,0,0,0,0,0.035588014417111,0.0324789385931869
114,20167.710131347,6,0,0,0,0,0,0.0341234248613945,0.0313615123571949
115,20167.73521,1,0,0,0,0,0,0.0355976013578081,0.0324890674781719
116,20167.760305988,6,0,0,0,0,0,0.0341044353442446,0.0313603656909702
117,20167.785418619,1,0,0,0,0,0,0.0355843271322276,0.0324967119196701
118,20167.810512491,6,0,0,0,0,0,0.0340880269265131,0.0313983967874235
119,20167.835608356,1,0,0,0,0,0,0.0355937297086804,0.0325154408013405
120,20167.860703205,6,0,0,0,0,0,0.0340950327677917,0.0313737434635919
121,20167.885817422,1,0,0,0,0,0,0.0355791649333907,0.0324925074768461
122,20167.910912068,6,0,0,0,0,0,0.0340496791637249,0.0313741256856668
