FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region1G
0,25948.83598,6,0,0,0,0,0,0.033552859
1,25948.86309,1,0,0,0,0,0,0.029892399
2,25948.89019,6,0,0,0,0,0,0.033558107
3,25948.9173,1,0,0,0,0,0,0.02987482
4,25948.94439,6,0,0,0,0,0,0.033556532
5,25948.9715,1,0,0,0,0,0,0.029891087
6,25948.99859,6,0,0,0,0,0,0.03355732
7,25949.0257,1,0,0,0,0,0,0.029878231
8,25949.05281,6,0,0,0,0,0,0.033564141
9,25949.0799,1,0,0,0,0,0,0.029887414
10,25949.10702,6,0,0,0,0,0,0.033543151
11,25949.13412,1,0,0,0,0,0,0.029877706
12,25949.16122,6,0,0,0,0,0,0.033573587
13,25949.18833,1,0,0,0,0,0,0.029878493
14,25949.21542,6,0,0,0,0,0,0.033570439
15,25949.24253,1,0,0,0,0,0,0.029887152
16,25949.26962,6,0,0,0,0,0,0.033540265
17,25949.29673,1,0,0,0,0,0,0.029894236
18,25949.32382,6,0,0,0,0,0,0.033564666
19,25949.35093,1,0,0,0,0,0,0.029887676
20,25949.37803,6,0,0,0,0,0,0.033573062
21,25949.40514,1,0,0,0,0,0,0.029894236
22,25949.43223,6,0,0,0,0,0,0.033558369
23,25949.45934,1,0,0,0,0,0,0.029893711
24,25949.48645,6,0,0,0,0,0,0.03355732
25,25949.51354,1,0,0,0,0,0,0.029908404
26,25949.54065,6,0,0,0,0,0,0.033564404
27,25949.56776,1,0,0,0,0,0,0.029889513
28,25949.59485,6,0,0,0,0,0,0.033539215
29,25949.62196,1,0,0,0,0,0,0.029888726
30,25949.64905,6,0,0,0,0,0,0.033530294
31,25949.67617,1,0,0,0,0,0,0.029888464
32,25949.70326,6,0,0,0,0,0,0.033569651
33,25949.73035,1,0,0,0,0,0,0.02990683
34,25949.75746,6,0,0,0,0,0,0.033548923
35,25949.78455,1,0,0,0,0,0,0.02989581
36,25949.81166,6,0,0,0,0,0,0.033547349
37,25949.83877,1,0,0,0,0,0,0.029883216
38,25949.86589,6,0,0,0,0,0,0.033549711
39,25949.89298,1,0,0,0,0,0,0.029866686
40,25949.92009,6,0,0,0,0,0,0.033533443
41,25949.94718,1,0,0,0,0,0,0.029887676
42,25949.97429,6,0,0,0,0,0,0.033538428
43,25950.00138,1,0,0,0,0,0,0.029877444
44,25950.02851,6,0,0,0,0,0,0.033551285
45,25950.05558,1,0,0,0,0,0,0.029880067
46,25950.08269,6,0,0,0,0,0,0.033562567
47,25950.10979,1,0,0,0,0,0,0.029880067
48,25950.13689,6,0,0,0,0,0,0.033570176
49,25950.16399,1,0,0,0,0,0,0.029897909
50,25950.1911,6,0,0,0,0,0,0.03353423
51,25950.21819,1,0,0,0,0,0,0.029895548
52,25950.2453,6,0,0,0,0,0,0.033555483
53,25950.27239,1,0,0,0,0,0,0.029887414
54,25950.2995,6,0,0,0,0,0,0.03355181
55,25950.32659,1,0,0,0,0,0,0.029881379
56,25950.35371,6,0,0,0,0,0,0.033542102
57,25950.3808,1,0,0,0,0,0,0.02989135
58,25950.40791,6,0,0,0,0,0,0.033540527
59,25950.43502,1,0,0,0,0,0,0.029888201
60,25950.46211,6,0,0,0,0,0,0.033537116
61,25950.4892,1,0,0,0,0,0,0.02990132
62,25950.51631,6,0,0,0,0,0,0.033557057
63,25950.54342,1,0,0,0,0,0,0.029894498
64,25950.57051,6,0,0,0,0,0,0.033556532
65,25950.5976,1,0,0,0,0,0,0.029887676
66,25950.62471,6,0,0,0,0,0,0.033548136
67,25950.65182,1,0,0,0,0,0,0.029904731
68,25950.67892,6,0,0,0,0,0,0.033539478
69,25950.70603,1,0,0,0,0,0,0.029913914
70,25950.73312,6,0,0,0,0,0,0.033568339
71,25950.76023,1,0,0,0,0,0,0.029904469
72,25950.78732,6,0,0,0,0,0,0.03352872
73,25950.81443,1,0,0,0,0,0,0.02986931
74,25950.84154,6,0,0,0,0,0,0.03356178
75,25950.86864,1,0,0,0,0,0,0.029889251
76,25950.89574,6,0,0,0,0,0,0.033531869
77,25950.92284,1,0,0,0,0,0,0.029889776
78,25950.94995,6,0,0,0,0,0,0.033541314
79,25950.97704,1,0,0,0,0,0,0.029895023
80,25951.00415,6,0,0,0,0,0,0.033551022
81,25951.03126,1,0,0,0,0,0,0.029868523
82,25951.05835,6,0,0,0,0,0,0.033548661
83,25951.08546,1,0,0,0,0,0,0.029878493
84,25951.11256,6,0,0,0,0,0,0.033547349
85,25951.13967,1,0,0,0,0,0,0.029886627
86,25951.16676,6,0,0,0,0,0,0.033563354
87,25951.19387,1,0,0,0,0,0,0.029893711
88,25951.22098,6,0,0,0,0,0,0.033535017
89,25951.24807,1,0,0,0,0,0,0.029899746
90,25951.27518,6,0,0,0,0,0,0.033531606
91,25951.30227,1,0,0,0,0,0,0.029888201
92,25951.32938,6,0,0,0,0,0,0.0335463
93,25951.35648,1,0,0,0,0,0,0.029892662
94,25951.38359,6,0,0,0,0,0,0.033553646
95,25951.4107,1,0,0,0,0,0,0.02987377
96,25951.43781,6,0,0,0,0,0,0.033551547
97,25951.4649,1,0,0,0,0,0,0.029893186
98,25951.49201,6,0,0,0,0,0,0.033547611
99,25951.5191,1,0,0,0,0,0,0.029877706
100,25951.54621,6,0,0,0,0,0,0.033549711
101,25951.5733,1,0,0,0,0,0,0.029893711
102,25951.60041,6,0,0,0,0,0,0.033536329
103,25951.6275,1,0,0,0,0,0,0.029887939
104,25951.65463,6,0,0,0,0,0,0.033530294
105,25951.68171,1,0,0,0,0,0,0.029888464
106,25951.70882,6,0,0,0,0,0,0.033533705
107,25951.73591,1,0,0,0,0,0,0.029888464
108,25951.76302,6,0,0,0,0,0,0.033563617
109,25951.79013,1,0,0,0,0,0,0.029883741
110,25951.81726,6,0,0,0,0,0,0.033525309
111,25951.84433,1,0,0,0,0,0,0.029877968
112,25951.87144,6,0,0,0,0,0,0.033543938
113,25951.89853,1,0,0,0,0,0,0.029901583
114,25951.92564,6,0,0,0,0,0,0.033547611
115,25951.95274,1,0,0,0,0,0,0.029898959
116,25951.97985,6,0,0,0,0,0,0.03354079
117,25952.00696,1,0,0,0,0,0,0.029880855
118,25952.03405,6,0,0,0,0,0,0.033536592
