,Time,zF
0,0.0,-0.2463109415668239
1,0.05,-0.276126595208663
2,0.1,-0.3111986487704321
3,0.15,-0.4072018348984525
4,0.2,-0.4913382959708217
5,0.25,-0.5444604148479514
6,0.3,-0.5521576321347129
7,0.35,-0.5888200174441496
8,0.4,-0.5838681003549874
9,0.45,-0.5597832827313047
10,0.5,-0.4822181456257802
11,0.55,-0.414921954665545
12,0.6,-0.38465252560314533
13,0.65,-0.3558028498859969
14,0.7,-0.365309650054341
15,0.75,-0.3752957387510941
16,0.8,-0.38132851714991534
17,0.85,-0.37850095020061153
18,0.9,-0.3997811280616704
19,0.95,-0.4192670524478005
20,1.0,-0.4340036217258208
21,1.05,-0.4407568267988578
22,1.1,-0.46266680386968967
23,1.15,-0.4719767841665006
24,1.2,-0.4774398693472942
25,1.25,-0.48619538832350356
26,1.3,-0.5030207488800984
27,1.35,-0.5169863621502377
28,1.4,-0.5251869760337962
29,1.45,-0.5296583574040358
30,1.5,-0.5336366621046534
31,1.55,-0.5322808004808325
32,1.6,-0.526641406435998
33,1.65,-0.5198374890011743
34,1.7,-0.5175629819221625
35,1.75,-0.5086556031320041
36,1.8,-0.5002083544932748
37,1.85,-0.4887042454568343
38,1.9,-0.47496229252789673
39,1.95,-0.4622020858205473
40,2.0,-0.45185844508544737
41,2.05,-0.4398142680173566
42,2.1,-0.4265885182811009
43,2.15,-0.40282742449378356
44,2.2,-0.3746220730063512
45,2.25,-0.35122749302859474
46,2.3,-0.33006335341664694
47,2.35,-0.31573079152736283
48,2.4,-0.30788647816227765
49,2.45,-0.3100516164012427
50,2.5,-0.3109463566511527
51,2.55,-0.32532451200293827
52,2.6,-0.3341553778010471
53,2.65,-0.3508542477950706
54,2.7,-0.34801072597041643
55,2.75,-0.35909828862541615
56,2.8,-0.36334925290956427
57,2.85,-0.3624319032258368
58,2.9,-0.3659920887656045
59,2.95,-0.3642892328945393
60,3.0,-0.3627030222339398
61,3.05,-0.3634332202095462
62,3.1,-0.37440715726795126
63,3.15,-0.38343952829163547
